train_loss,epoch,step
10.095126152038574,0,49
5.270644187927246,0,99
1.8045051097869873,0,149
1.289553165435791,0,199
0.83827805519104,0,249
1.7575490474700928,0,299
2.1775975227355957,0,349
0.7673606276512146,0,399
0.5059160590171814,0,449
0.7569009065628052,0,499
0.14795607328414917,0,549
0.4544953405857086,0,599
0.7360138893127441,0,649
0.5439468622207642,0,699
0.15008826553821564,0,749
0.3385685384273529,0,799
0.48507651686668396,0,849
0.09379211813211441,0,899
0.4228695034980774,0,949
0.1420440524816513,0,999
0.1270160973072052,0,1049
0.11983788013458252,0,1099
0.0632094293832779,0,1149
0.20746086537837982,0,1199
0.12715871632099152,0,1249
0.24572722613811493,0,1299
0.08743920922279358,0,1349
0.1732364445924759,0,1399
0.04602842777967453,0,1449
0.1413072794675827,0,1499
0.05916513875126839,0,1549
0.40012505650520325,0,1599
0.41618821024894714,0,1649
1.7809582948684692,0,1699
21.40328025817871,0,1749
2.8414294719696045,0,1799
2.4748594760894775,0,1849
0.19706030189990997,0,1899
0.2534444034099579,0,1949
0.13293401896953583,0,1999
0.010105602443218231,0,2049
0.028044309467077255,0,2099
0.07767041027545929,0,2149
0.14249573647975922,0,2199
0.05442126840353012,0,2249
0.0142411720007658,0,2299
0.012854172848165035,0,2349
0.005605169106274843,0,2399
0.007382544223219156,0,2449
0.002450332511216402,0,2499
0.01993744447827339,0,2549
0.004148008301854134,0,2599
0.013760855421423912,0,2649
0.0262578334659338,0,2699
0.020850399509072304,0,2749
0.011658834293484688,0,2799
0.02360428497195244,0,2849
0.036088645458221436,0,2899
0.26853179931640625,0,2949
0.048931024968624115,0,2999
0.016774818301200867,0,3049
0.014425769448280334,0,3099
0.008506660349667072,0,3149
0.004220649600028992,0,3199
0.00837545283138752,0,3249
0.005480877589434385,0,3299
0.011026418767869473,0,3349
0.01619861274957657,0,3399
0.010973873548209667,0,3449
0.008778436109423637,0,3499
0.0055182864889502525,0,3549
0.0015669208951294422,0,3599
0.009132053703069687,0,3649
0.017889250069856644,0,3699
0.0118224136531353,0,3749
0.0074193282052874565,0,3799
0.009343835525214672,0,3849
0.013041919097304344,0,3899
0.009529062546789646,0,3949
0.01875212974846363,0,3999
